"","X","generations","popsize_outcrossrate","He","popsize","outcross"
"155",55,55,"10_0.25",0.09545771,10,0.25
"156",56,56,"10_0.25",0.09352891,10,0.25
"157",57,57,"10_0.25",0.09162858,10,0.25
"158",58,58,"10_0.25",0.0897353,10,0.25
"159",59,59,"10_0.25",0.087904575,10,0.25
"160",60,60,"10_0.25",0.086177125,10,0.25
"161",61,61,"10_0.25",0.08444705,10,0.25
"162",62,62,"10_0.25",0.082677195,10,0.25
"163",63,63,"10_0.25",0.08100369,10,0.25
"164",64,64,"10_0.25",0.079376535,10,0.25
"165",65,65,"10_0.25",0.077771825,10,0.25
"166",66,66,"10_0.25",0.07620913,10,0.25
"167",67,67,"10_0.25",0.0746528,10,0.25
"168",68,68,"10_0.25",0.073107835,10,0.25
"169",69,69,"10_0.25",0.07163095,10,0.25
"170",70,70,"10_0.25",0.07017947,10,0.25
"171",71,71,"10_0.25",0.068773515,10,0.25
"172",72,72,"10_0.25",0.067373555,10,0.25
"173",73,73,"10_0.25",0.065971455,10,0.25
"174",74,74,"10_0.25",0.064590465,10,0.25
"175",75,75,"10_0.25",0.063229655,10,0.25
"176",76,76,"10_0.25",0.061932435,10,0.25
"177",77,77,"10_0.25",0.060635265,10,0.25
"178",78,78,"10_0.25",0.05939271,10,0.25
"179",79,79,"10_0.25",0.058201005,10,0.25
"180",80,80,"10_0.25",0.056960795,10,0.25
"181",81,81,"10_0.25",0.05579616,10,0.25
"182",82,82,"10_0.25",0.054627745,10,0.25
"183",83,83,"10_0.25",0.053504825,10,0.25
"184",84,84,"10_0.25",0.05246163,10,0.25
"185",85,85,"10_0.25",0.05136496,10,0.25
"186",86,86,"10_0.25",0.050292705,10,0.25
"187",87,87,"10_0.25",0.04926653,10,0.25
"188",88,88,"10_0.25",0.048260755,10,0.25
"189",89,89,"10_0.25",0.04726074,10,0.25
"190",90,90,"10_0.25",0.046285465,10,0.25
"191",91,91,"10_0.25",0.04534688,10,0.25
"192",92,92,"10_0.25",0.044413705,10,0.25
"193",93,93,"10_0.25",0.043465285,10,0.25
"194",94,94,"10_0.25",0.04255243,10,0.25
"195",95,95,"10_0.25",0.041665345,10,0.25
"196",96,96,"10_0.25",0.040817395,10,0.25
"197",97,97,"10_0.25",0.04000527,10,0.25
"198",98,98,"10_0.25",0.03914735,10,0.25
"199",99,99,"10_0.25",0.038336315,10,0.25
"200",100,100,"10_0.25",0.03753897,10,0.25
"201",1,1,"10_0.5",0.296462,10,0.5
"202",2,2,"10_0.5",0.286219595,10,0.5
"203",3,3,"10_0.5",0.276886595,10,0.5
"204",4,4,"10_0.5",0.268143565,10,0.5
"205",5,5,"10_0.5",0.259920005,10,0.5
"206",6,6,"10_0.5",0.25173952,10,0.5
"207",7,7,"10_0.5",0.24390753,10,0.5
"208",8,8,"10_0.5",0.236130695,10,0.5
"209",9,9,"10_0.5",0.22873575,10,0.5
"210",10,10,"10_0.5",0.22149103,10,0.5
"211",11,11,"10_0.5",0.21438163,10,0.5
"212",12,12,"10_0.5",0.20777871,10,0.5
"213",13,13,"10_0.5",0.201286985,10,0.5
"214",14,14,"10_0.5",0.19493193,10,0.5
"215",15,15,"10_0.5",0.188680365,10,0.5
"216",16,16,"10_0.5",0.182828965,10,0.5
"217",17,17,"10_0.5",0.17696202,10,0.5
"218",18,18,"10_0.5",0.171596135,10,0.5
"219",19,19,"10_0.5",0.166052885,10,0.5
"220",20,20,"10_0.5",0.16105742,10,0.5
"221",21,21,"10_0.5",0.156229415,10,0.5
"222",22,22,"10_0.5",0.151397895,10,0.5
"223",23,23,"10_0.5",0.1468135,10,0.5
"224",24,24,"10_0.5",0.142168205,10,0.5
"225",25,25,"10_0.5",0.13773465,10,0.5
"226",26,26,"10_0.5",0.13337665,10,0.5
"227",27,27,"10_0.5",0.129280685,10,0.5
"228",28,28,"10_0.5",0.1253147,10,0.5
